ɖʐ o ⁴	ɖʐ o ⁴
ts r i ²	ts u ²
x ɯ ²	x ɯ ³³
s r r æ ²	s r e ŋ ²
tɕ j æ ⁴	tɕ æ ¹
s r e ¹	sʰ r e ŋ ¹
j o ŋ ²	n j o ²
q æ ¹	q æ n ¹
tsʰ w e n ¹	tsʰ w e n ¹
s w a ŋ ¹	s w a ŋ ²¹
ts o ⁵	ts o ⁵
ts r r u ŋ ¹	ts u ŋ ¹
b e ¹	b e ¹
ʁ ɯ ⁴	ʁ ɯ ⁴
n j o ²	ŋ j o ²
x æ n ¹	χ æ n ¹
ts o ŋ ²	ts u ŋ ²
b r i ¹	b r i ²
tʰ u ³	tʰ r u ³
b ɔ ³	b ɔ ³
ts r e ¹	ts r e ŋ ¹
d r ɯ ³	d r ɯ ³
ɕ w a ⁴	s w a ⁴
n j o ŋ ⁴	ŋ j o ŋ ⁴
t w e n ¹	t w e n ¹
m a ⁴	m a ⁴
d j e n ²	ɖʐ e n ²
m e ¹	m e ¹
tʲ a ¹	d ɔ ¹
dz o ŋ ¹	dz o ŋ ¹
m r i ¹	m j i ¹
ʈ r æ ⁴	ʈ æ ⁴
s i ¹	s r e ŋ ¹
tɕ j ɯ ²	tɕ ɯ ²
tʰ e ⁴	tʰ r e ⁴
tʰ e ²	tʰ j e ²
tsʰ o ŋ ¹	tsʰ o ŋ ¹
q a ŋ ¹	q a ŋ ¹
q ɯ ¹	q ɯ ¹
m ɯ ¹	m ɯ ²
m i ¹	m i ¹
p j o ¹	pʰ j u ŋ ¹
ɕ o ⁴	ɕ a
ɯ̃ ²	ɯ̃ ²
g ɯ̃ ŋ ³	g ɯ̃ ³
s r r i ⁴	s r i ⁴
